pair,base,quote,st_tag,date
FRIEND_USDT,FRIEND,USDT,True,2025-07-31
IAZUKI_USDT,IAZUKI,USDT,True,2025-07-31
CONV_USDT,CONV,USDT,True,2025-07-31
FERC_USDT,FERC,USDT,True,2025-07-31
VLX_USDT,VLX,USDT,True,2025-07-31
TTK_USDT,TTK,USDT,True,2025-07-31
PTC_USDT,PTC,USDT,True,2025-07-31
KAI_USDT,KAI,USDT,True,2025-07-31
BACON_USDT,BACON,USDT,True,2025-07-31
PCNT_USDT,PCNT,USDT,True,2025-07-31
ROOM_USDT,ROOM,USDT,True,2025-07-31
TRIBE_USDT,TRIBE,USDT,True,2025-07-31
HIPPOP_USDT,HIPPOP,USDT,True,2025-07-31
PUNKAI_USDT,PUNKAI,USDT,True,2025-07-31
GARD_USDT,GARD,USDT,True,2025-07-31
MMM_USDT,MMM,USDT,True,2025-07-31
BORING_USDT,BORING,USDT,True,2025-07-31
SFM_USDT,SFM,USDT,True,2025-07-31
XIL_USDT,XIL,USDT,True,2025-07-31
RIFSOL_USDT,RIFSOL,USDT,True,2025-07-31
AGS_USDT,AGS,USDT,True,2025-07-31
CGX_USDT,CGX,USDT,True,2025-07-31
HMX_USDT,HMX,USDT,True,2025-07-31
SBR1_USDT,SBR1,USDT,True,2025-07-31
SUIAGENT_USDT,SUIAGENT,USDT,True,2025-07-31
